media,spend,roi,contribution
mass_email,367793.076923077,0.00011494874752333621,2.052650576015175
mass_email,378826.8692307692,0.00011763777337403697,2.1636888259716605
mass_email,389860.6615384616,0.00011984257782014601,2.268442572846205
mass_email,400894.4538461539,0.0001216297989064807,2.3674306641878786
mass_email,411928.24615384615,0.00012305615573460942,2.4611163646435394
mass_email,422962.0384615385,0.00012417009508906184,2.5499146019853645
mass_email,433995.83076923084,0.00012501313469437023,2.634198113446719
mass_email,445029.6230769231,0.00012562096412467008,2.714302673236701
mass_email,456063.4153846154,0.00012602435174376007,2.790531563654926
mass_email,467097.20769230777,0.00012624989526830612,2.8631594149688295
mass_email,478131.0,0.0001263206451730769,2.932435505935618
non_clm_call,1018424.0,-0.29944765718568744,-14806.648840015661
non_clm_call,1253444.923076923,-0.20042912349349312,-12197.569872566646
non_clm_call,1488465.846153846,-0.14100636279978157,-10190.2494639428
non_clm_call,1723486.7692307692,-0.10265738649436953,-8590.241809437444
non_clm_call,1958507.6923076923,-0.07657247077185847,-7281.2371141725125
non_clm_call,2193528.615384615,-0.05810778258147002,-6188.492072364417
non_clm_call,2428549.5384615385,-0.044621783397551254,-5261.39759895062
non_clm_call,2663570.4615384615,-0.03452077817347214,-4464.285890867214
non_clm_call,2898591.3846153845,-0.02679699251757452,-3771.206239795696
non_clm_call,3133612.3076923075,-0.020788180333144533,-3162.7799108905065
non_clm_call,3368633.2307692305,-0.016044968798508183,-2624.2175595243025
non_clm_call,3603654.1538461535,-0.012254026337299542,-2144.0215479149792
non_clm_call,3838675.076923077,-0.009191714376481301,-1713.1094285596732
non_clm_call,4073696.0,-0.006695139965455476,-1324.2058707012156
non_clm_call,4308716.923076923,-0.004643525304748892,-971.4109860526778
non_clm_call,4543737.846153846,-0.002945898589811256,-649.8876601312983
non_clm_call,4778758.769230769,-0.0015327711337536308,-355.63103407861837
non_clm_call,5013779.692307692,-0.00035039302222538343,-85.29585515236042
non_clm_call,5248800.615384615,0.0006432851104689606,163.93466846060875
non_clm_call,5483821.538461538,0.0014814982846339346,394.44976139057763
non_clm_call,5718842.461538461,0.0021907611371654173,608.2896023481541
non_clm_call,5953863.384615384,0.002792407948265805,807.2070801040242
non_clm_call,6188884.307692307,0.0033037394592877987,992.7168340263033
non_clm_call,6423905.23076923,0.0037388866871408796,1166.1345439109214
non_clm_call,6658926.153846154,0.004109468450121058,1328.6086663985907
non_clm_call,6893947.076923077,0.004425096754170867,1481.1462651280035
non_clm_call,7128968.0,0.004693768753538901,1624.634182352415
non_clm_call,7363988.923076923,0.004922173295053474,1759.8565064463546
non_clm_call,7599009.846153846,0.005115932534975547,1887.5090720007342
non_clm_call,7834030.769230769,0.005279793770683846,2008.2115658939113
non_clm_call,8069051.692307692,0.005417782786023059,2122.5176892681434
non_clm_call,8304072.615384615,0.005533327216752814,2230.923730929451
non_clm_call,8539093.538461538,0.005629356394648075,2333.875835172914
non_clm_call,8774114.46153846,0.005708382612574776,2431.7761906961464
non_clm_call,9009135.384615384,0.00577256762093645,2524.988323309636
non_clm_call,9244156.307692308,0.005823777313787192,2613.841640546386
non_clm_call,9479177.23076923,0.005863626916678085,2698.6353489083117
non_clm_call,9714198.153846154,0.005893518494579243,2779.6418426836676
non_clm_call,9949219.076923076,0.0059146722184132495,2857.1096457915355
non_clm_call,10184240.0,0.005928152534748955,2931.2659740612303
phone_call,18828.0,-2.8588726038122982,-2613.4020309548587
phone_call,23172.923076923078,-1.916617873659778,-2156.3715116369262
phone_call,27517.846153846156,-1.3483099765910882,-1801.405224808615
phone_call,31862.76923076923,-0.9808360242612558,-1517.3548535080427
phone_call,36207.69230769231,-0.7307946961197748,-1284.705148148783
phone_call,40552.61538461539,-0.5538887043912871,-1090.5576007440739
phone_call,44897.53846153846,-0.4248082286438021,-926.0249401142685
phone_call,49242.46153846154,-0.32824503985589615,-784.7749975784117
phone_call,53587.38461538462,-0.2545067542964417,-662.1693972938934
phone_call,57932.307692307695,-0.19722128841671985,-554.7302538428779
phone_call,62277.23076923077,-0.15206519547420277,-459.797228537109
phone_call,66622.15384615384,-0.11602523927029654,-375.2998349807173
phone_call,70967.07692307692,-0.08695221448428467,-299.6020606617061
phone_call,75312.0,-0.06328201051121947,-231.39378029272973
phone_call,79656.92307692308,-0.04385600386565226,-169.61326530375638
